technology,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DAC,IT,1.4351893463342912e-06,1.6339458326205886e-06,1.785622956320635e-06,1.9787618008165782e-06,2.1180764259373335e-06,2.2247100969810173e-06,2.3142033326335472e-06,2.3858192119614527e-06,2.480942711387636e-06,2.6093073211494453e-06,2.7671225017978787e-06,2.8912228583969112e-06,3.040317600241118e-06,3.2142069412258014e-06,3.411429942321491e-06,3.6376882790197607e-06,3.888606523687455e-06,4.16227408460952e-06,4.46222621486866e-06,4.8759373494808005e-06,4.736270092518794e-06,5.207071087758741e-06,5.623898301070082e-06,6.0701179778371125e-06,6.5475622328982835e-06,7.0416560541158935e-06,7.594720684427664e-06,8.139803520557553e-06,8.601168772208478e-06,9.230143696129277e-06
DAC,LT,1.4435107219791926e-06,1.6550255109025132e-06,1.8165502171673884e-06,2.04883749365474e-06,2.2090069387959805e-06,2.3446565604126767e-06,2.4618164830384532e-06,2.5604005402857334e-06,2.6378726547907246e-06,2.7397097296381917e-06,2.8756095178431465e-06,3.023692013503361e-06,3.199024686771315e-06,3.407351163581023e-06,3.6433278064369692e-06,3.9063790440137425e-06,4.190254758710445e-06,4.5092731236800465e-06,4.859435616765097e-06,5.373293953790352e-06,5.417081968196241e-06,5.9451738720474435e-06,6.311102850025756e-06,6.671177760635823e-06,7.1723874366492566e-06,7.72325225319094e-06,8.325704847776805e-06,8.937793264691294e-06,9.521447227524742e-06,1.0268212339947245e-05
DAC,LU,1.2181723893072971e-06,1.6359591971051422e-06,1.83676825059403e-06,2.1329097331545856e-06,2.289832548617885e-06,2.430039943265398e-06,2.5608536910419063e-06,2.676456941354536e-06,2.7735813798990407e-06,2.8429218840146686e-06,2.924856016608878e-06,3.0351756947536394e-06,3.1581236766568836e-06,3.3098207020615327e-06,3.4906024315763827e-06,3.7027106945356426e-06,3.942181607775897e-06,4.2290684802535685e-06,4.515455097363804e-06,4.929111940201086e-06,4.9292821830866115e-06,5.2746445801544105e-06,5.679543660433331e-06,6.085477225883328e-06,6.620762665451238e-06,7.206896173768307e-06,7.867564010239053e-06,8.465748984639732e-06,8.895671437155367e-06,9.522496416634593e-06
DAC,LV,1.4535354047757727e-06,1.6813532804828167e-06,1.8447652636771999e-06,2.0832052869059133e-06,2.2459354766267933e-06,2.385070873680084e-06,2.5189139494369883e-06,2.643712884347339e-06,2.753572605784216e-06,2.8410617394432693e-06,2.942683191190621e-06,3.0575944981964578e-06,3.1964290307596607e-06,3.3691791472214124e-06,3.57494235427486e-06,3.8147302682363605e-06,4.071453656548751e-06,4.352017260280607e-06,4.673710173138488e-06,5.15852046597322e-06,5.169318106880652e-06,5.532653553685481e-06,5.922657764445052e-06,6.30424937880338e-06,6.792569440138312e-06,7.274590306442107e-06,7.763905759139392e-06,8.257414310387095e-06,8.74698775118388e-06,9.423433194200657e-06
DAC,NL,1.2763203520177924e-06,1.6810640407799031e-06,1.861826864607563e-06,2.0560242921825973e-06,2.155156827397192e-06,2.2792330671248267e-06,2.389860356932036e-06,2.4677183025044642e-06,2.575920893225437e-06,2.7039424522197867e-06,2.833968449778036e-06,2.975552783345653e-06,3.1280641845513255e-06,3.2916143108339814e-06,3.473360221162935e-06,3.682247968914296e-06,3.918163075636985e-06,4.185065722954774e-06,4.483028626273897e-06,4.886356779660555e-06,4.851316624726322e-06,5.1915416626511395e-06,5.55001044173199e-06,5.928608810032254e-06,6.414597304408191e-06,6.9099756135736195e-06,7.542866576087062e-06,8.176501183032224e-06,8.564291665037963e-06,9.125756577850979e-06
DAC,NO,1.54328724481725e-06,1.7625903674718915e-06,1.939712181325399e-06,2.1695278102476013e-06,2.344543442560059e-06,2.5236698343532417e-06,2.7066112888454222e-06,2.8806125343758827e-06,3.0706493795826307e-06,3.2747611218064858e-06,3.4693512243803503e-06,3.6036757381395455e-06,3.7300843668405937e-06,3.8374709235520255e-06,4.004748824639926e-06,4.236148190652203e-06,4.517056126903829e-06,4.848429224812043e-06,5.218408832028735e-06,5.812483101619842e-06,6.11117267599527e-06,6.667957636464325e-06,7.061098812369909e-06,7.499408026220359e-06,8.142285187380373e-06,8.840665546073653e-06,9.467428364669214e-06,1.0083899517061575e-05,1.0569549420013598e-05,1.1214942706719292e-05
DAC,PL,1.421684125577592e-06,1.6279139767267443e-06,1.782293312635896e-06,1.9946037453001727e-06,2.149176759851655e-06,2.2874620207822243e-06,2.4228096120798405e-06,2.5635967196953314e-06,2.7183367640961055e-06,2.8863939384098977e-06,3.0603135528152444e-06,3.1976703957048874e-06,3.3627983299949177e-06,3.555493066855561e-06,3.739133951711826e-06,3.9216806902740365e-06,4.1094519189220695e-06,4.305743606756031e-06,4.565983598217276e-06,4.981915591282933e-06,4.852143856563031e-06,5.265003228121959e-06,5.6348661118666465e-06,5.975642297809678e-06,6.398145299929872e-06,6.841128408633129e-06,7.319655576554902e-06,7.741559652760855e-06,8.114236520344502e-06,8.637296837677631e-06
DAC,PT,1.3354851869112728e-06,1.546167851116033e-06,1.7012880306655834e-06,1.8845861124870394e-06,2.000558588134231e-06,2.122715128245616e-06,2.247995972689593e-06,2.3782574810254474e-06,2.523377579659205e-06,2.685029686499198e-06,2.856590972231988e-06,3.01716535882003e-06,3.1988583092605874e-06,3.402963117212457e-06,3.6316432841968877e-06,3.8942113342806345e-06,4.201848011058094e-06,4.576455088273577e-06,4.936881459131454e-06,5.374876139487909e-06,5.187743324858076e-06,5.6211275959326295e-06,6.012887166223345e-06,6.434449629019749e-06,6.9454540756692985e-06,7.473082585250285e-06,8.118332659702757e-06,8.752447410931727e-06,9.28031184090816e-06,1.0051506246893746e-05
DAC,RO,1.264882247937801e-06,1.6055189517848344e-06,1.7632957087912336e-06,1.9138695722256027e-06,1.9965173405408895e-06,2.0902670977134394e-06,2.1910072132246277e-06,2.292446979190013e-06,2.4209527196421114e-06,2.585652361108552e-06,2.7888403741039373e-06,2.917331046194388e-06,3.076686977730266e-06,3.259402246476455e-06,3.4602177204580604e-06,3.667596526378477e-06,3.898026244393603e-06,4.176055162204654e-06,4.507476032086812e-06,4.943266827726939e-06,4.9148857203942905e-06,5.337900116573888e-06,5.749571894400071e-06,6.170473438495552e-06,6.67331699363407e-06,7.155267839269972e-06,7.662461012545217e-06,8.164000392624916e-06,8.64100420786044e-06,9.276124845999689e-06
DAC,SE,1.4969619453738017e-06,1.710091809567438e-06,1.876061235261169e-06,2.080537477316837e-06,2.238257155458189e-06,2.349694835360805e-06,2.450237482296949e-06,2.5635094283530107e-06,2.7118191899308346e-06,2.890030637639514e-06,3.077891818940727e-06,3.24502458624343e-06,3.436310676709081e-06,3.6614055806980264e-06,3.9243051601318525e-06,4.207203630119671e-06,4.512117836686751e-06,4.864382835864876e-06,5.234868426321006e-06,5.807063890682489e-06,5.8793011386131226e-06,6.316960335318565e-06,6.6658196800721986e-06,7.046517056614661e-06,7.556817443884243e-06,8.1191036590235e-06,8.618487203687864e-06,9.242328315861596e-06,9.710120243140792e-06,1.0251582302546656e-05
