technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11
wind_onshore,power,LV,0.0471,0.0471,0.0471,0.0445,0.0445,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.0207
wind_onshore,power,NL,11.8287,11.8025,11.797,11.7467,11.7364,12.1376,14.7311,14.9057,16.9286,19.2623,20.602,21.5636
wind_onshore,power,NO,19.2682,19.2644,19.2607,19.2607,19.2607,21.2733,22.5324,22.4772,24.3201,26.7053,27.1918,29.3718
wind_onshore,power,PL,48.8825,48.8825,48.8825,48.8825,48.8645,50.1158,50.2026,51.8967,54.8753,55.6948,57.5424,58.2853
wind_onshore,power,PT,8.1461,8.1456,8.1359,8.1004,8.0803,7.9554,7.8794,8.9834,8.4401,8.8833,8.985,8.9244
wind_onshore,power,RO,3.1147,3.1147,3.1147,3.1147,3.1147,3.1147,3.1147,3.1147,3.1147,3.3547,4.3962,8.0312
wind_onshore,power,SE,10.6159,10.6131,10.6125,10.5879,10.5643,10.5219,10.4503,10.4032,10.382,10.2742,10.0761,9.9007
wind_onshore,power,SI,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
wind_onshore,power,SK,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0025,0.002,0.0,0.0,0.0,0.0
wind_onshore,power,UK,45.7739,45.7597,45.731,45.6746,45.5956,45.5044,50.4481,57.0125,66.5154,73.9797,77.0063,83.2549
