technology,location,0,1,2,3,4,5
biomass_plant_CCS,LU,1.5207335407143585e-07,2.4541934635541814e-07,3.6872129490066614e-07,1.2090405828979615e-06,4.142555884128368e-06,4.903601025699464e-05
biomass_plant_CCS,LV,1.6234428772859182e-07,2.309668450966962e-07,3.9432988591257103e-07,8.939091352811217e-07,1.6495266841001687e-06,5.953867705836355e-06
biomass_plant_CCS,NL,1.8630267591200758e-07,2.398009050773359e-07,8.277385865826418e-07,25.467673607019776,89.40965849695256,123.06426518586522
biomass_plant_CCS,NO,1.2888313505789252e-07,1.9835955970587144e-07,5.510525067708298e-07,44.045160318694464,47.26206424048771,46.53784000447812
biomass_plant_CCS,PL,1.4207312808967053e-07,2.0726443396314928e-07,3.846202220369638e-07,1.3997593449371744e-06,3.572764520940373e-06,1.1957797566721642e-05
biomass_plant_CCS,PT,1.2607763374520536e-07,1.662929312583317e-07,2.6505244355857734e-07,5.541579787601816e-07,9.17505978759047e-07,4.76102791113468e-06
biomass_plant_CCS,RO,1.5061682307383107e-07,2.4581019255605067e-07,4.964258394123748e-07,1.1167204360722947e-06,2.0282490245255165e-06,7.415070915960291e-06
biomass_plant_CCS,SE,1.3858752561484628e-07,2.45924663276392e-07,5.432841357202826e-07,1.8699201608330635e-05,363.0848612914648,357.5946651931398
biomass_plant_CCS,SI,1.4985809521102957e-07,2.2921155468919852e-07,6.297889366002906e-07,2.8057977169935934e-06,2.917349309447374e-06,9.643009120718358e-06
biomass_plant_CCS,SK,1.7221005638391757e-07,2.8042532621665696e-07,5.362203848257511e-07,1.0580786480129623e-06,2.3016475762575437e-06,1.40725740006535e-05
biomass_plant_CCS,UK,1.4928165826989826e-07,2.2138230555117142e-07,3.9639147220118045e-07,7.967098047477377e-05,35.7671431761324,32.4905475774905
carbon_pipeline,AT-CH,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,AT-CZ,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,AT-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,AT-HU,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,AT-IT,0.0,0.0,0.0,0.0,0.0,0.0
