technology,capacity_type,location,0,1,2,3,4,5
biomass_plant,power,SI,1.2704073946908212,1.2704073965135247,1.2704074005596095,1.270407410359057,7.660941249112948e-07,4.261785644612686e-06
biomass_plant,power,SK,0.47640277393132074,0.4764027759837538,0.47640277902810046,0.47640278456608204,0.47640279723002993,4.466436556054457e-06
biomass_plant,power,UK,890.8255443273929,883.1173474712652,832.2184752561254,742.1211829219094,670.1859522955057,395.0760553157364
biomass_plant_CCS,power,AT,3.401736308993291e-07,5.326788890236964e-07,1.2694504958030541e-06,7.495656880360692e-06,3.680416740698453e-05,0.00011216433751739277
biomass_plant_CCS,power,BE,3.437389201436281e-07,4.593394734299009e-07,2.0009098072692755e-06,145.28050349723614,172.20956816405362,172.20956835741558
biomass_plant_CCS,power,BG,2.699198986392543e-07,4.6026271090216654e-07,9.789929204774132e-07,8.55253231020142e-06,84.58402069751615,84.5840208847262
biomass_plant_CCS,power,CH,3.2620724692246544e-07,5.469724504797292e-07,1.178332759829613e-06,24.345610333081332,29.68268991780523,29.682691129172348
biomass_plant_CCS,power,CZ,3.135228627739067e-07,4.1093301760393505e-07,1.0444014302927272e-06,3.0598309707190905e-06,4.9337954466017905e-06,2.278821074167076e-05
biomass_plant_CCS,power,DE,3.766980717926107e-07,6.163802839944165e-07,3.0459490314689814e-06,1376.3305308248844,1641.60365042191,1641.6036521426738
biomass_plant_CCS,power,DK,2.979272351948903e-07,5.091460577335172e-07,1.676855833867157e-06,143.24651084768257,143.24658618479933,143.24658666814477
biomass_plant_CCS,power,EE,2.7336633955906983e-07,4.1699419035616696e-07,6.445521857373965e-07,1.328518462535252e-06,2.374483446572265e-06,9.724424365837897e-06
biomass_plant_CCS,power,EL,2.599040159675018e-07,4.513159091408632e-07,1.1517974459209356e-06,2.1742293549529936,88.86419993339221,88.86420008031314
biomass_plant_CCS,power,ES,2.566781417427612e-07,3.4249232294216126e-07,5.4546981123951e-07,1.2865476630076865e-06,2.138313924845356e-06,1.2059847421556537e-05
