technology,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
DAC,FI,8.069699182814949e-08,9.802792163789338e-08,1.075556613212957e-07,1.1731885364923284e-07,1.2413086862822225e-07,1.3025897632735973e-07,1.3593714171839436e-07,1.414372906367038e-07,1.4873419517843734e-07,1.5766565471668148e-07,1.6879324596958592e-07,1.776458856613636e-07,1.875389011987514e-07,1.9878512067085663e-07,2.1186651965174246e-07,2.2630150503182646e-07,2.4117547451079876e-07,2.576840289133193e-07,2.8009431239879183e-07,3.1524220841426473e-07,3.183066826134108e-07,3.321543159106365e-07,3.5677816421430374e-07,3.8298208699881067e-07,4.1571466032373485e-07,4.4606528150388667e-07,4.718065533524944e-07,5.008474396055809e-07,5.259537356406665e-07,5.513089459210385e-07,6.007109127770218e-07
DAC,FR,8.611177146111178e-08,9.870018967991875e-08,1.0817128348859459e-07,1.1969849254697642e-07,1.2819590711787104e-07,1.3612736548164185e-07,1.4345635088030928e-07,1.5045225915490935e-07,1.5744317773054217e-07,1.632879276302115e-07,1.714844353972909e-07,1.7943725422573856e-07,1.8885461023752481e-07,1.9967648883600544e-07,2.1296079012774848e-07,2.273603204965313e-07,2.430954714410134e-07,2.596353179180797e-07,2.7845164534633456e-07,3.026934511374663e-07,3.009909260712871e-07,3.3065035665020116e-07,3.58208091150895e-07,3.833057714104372e-07,4.168650934791894e-07,4.5259289744334253e-07,4.932965558921508e-07,5.300945351255578e-07,5.566213373883499e-07,5.856402440232718e-07,6.445603512561186e-07
DAC,HR,8.325103110444611e-08,9.522467082161389e-08,1.0392697567073064e-07,1.146936803574363e-07,1.2319441831975326e-07,1.310271606451129e-07,1.38385561155262e-07,1.4608199870056408e-07,1.545742228870139e-07,1.633853086146031e-07,1.7183365980014264e-07,1.776438649140012e-07,1.849443824041181e-07,1.9370251268279127e-07,2.0396437221723376e-07,2.14918697186961e-07,2.274965682109937e-07,2.42505067780483e-07,2.607728069990228e-07,2.8486715722246287e-07,2.821231367611133e-07,3.0980126669233775e-07,3.3594321000962264e-07,3.5878201528470153e-07,3.877325868362562e-07,4.1836460348781497e-07,4.523560110541515e-07,4.827712230112976e-07,5.071540415290164e-07,5.319149519517142e-07,5.748902694660129e-07
DAC,HU,8.681193904919508e-08,9.851802746754407e-08,1.0702552040520827e-07,1.1734651456446161e-07,1.257216091366663e-07,1.335086691652023e-07,1.4090127613291214e-07,1.4811195856926935e-07,1.5504661483294422e-07,1.6097167120845101e-07,1.6894810317611923e-07,1.7729858650127488e-07,1.8665763568040656e-07,1.970016973859191e-07,2.0882852801640065e-07,2.2162749057257744e-07,2.3579381071854403e-07,2.5156789294034585e-07,2.707764246734544e-07,2.965077347093166e-07,2.970573633045558e-07,3.2561553352063623e-07,3.5192731909148773e-07,3.751176997126207e-07,4.042459705760362e-07,4.35405041857001e-07,4.6928200464991413e-07,4.9963782503095e-07,5.261468958538793e-07,5.531829057085696e-07,6.002864849516816e-07
DAC,IE,7.536028187689464e-08,9.541137709262611e-08,1.0606574074053826e-07,1.182220810248856e-07,1.2538841164917504e-07,1.2991998550226773e-07,1.3525610450213385e-07,1.4168570143078427e-07,1.4992028269418622e-07,1.5994335072167593e-07,1.7198204084736826e-07,1.8082648106810227e-07,1.907908366106896e-07,2.0227173695048698e-07,2.1604198008624212e-07,2.3156849544747326e-07,2.4850259379968816e-07,2.688035275521923e-07,2.951964203316032e-07,3.298115257525098e-07,3.389814401382971e-07,3.6980354211479644e-07,3.999026419541925e-07,4.261854183850018e-07,4.6609031869228045e-07,5.13771379413341e-07,5.70742151470314e-07,6.19596382443302e-07,6.499907622761531e-07,6.798404878441011e-07,7.507991054472765e-07
DAC,IT,8.48697986382179e-08,9.689030190891182e-08,1.0588424022090166e-07,1.1620446244999427e-07,1.241128760330354e-07,1.303651166979644e-07,1.3547423155089125e-07,1.3979949430728456e-07,1.4499311237212756e-07,1.5166888452807484e-07,1.6056688386987775e-07,1.683887877301948e-07,1.7745383509498475e-07,1.8761536941013223e-07,1.992776951634856e-07,2.116316578577719e-07,2.24624085158566e-07,2.38653391424208e-07,2.555314963988755e-07,2.7821644761040073e-07,2.7532950323146924e-07,3.0313678065385583e-07,3.302345895688661e-07,3.5556015690403903e-07,3.851518658444923e-07,4.1557342058049833e-07,4.47282199028974e-07,4.751866973493753e-07,4.983461680094096e-07,5.218573307151382e-07,5.659251455836514e-07
DAC,LT,8.665963200193281e-08,9.799977877621615e-08,1.0648281771055585e-07,1.1698288800028135e-07,1.2512232575073778e-07,1.3237703253518996e-07,1.3912616766524945e-07,1.4557944447504123e-07,1.5189067641136392e-07,1.591869884765432e-07,1.6905488741394375e-07,1.7758448466308592e-07,1.8738111215329913e-07,1.9891075787094455e-07,2.1216437475404448e-07,2.273209171107307e-07,2.4434336432227534e-07,2.639306108611734e-07,2.8584083827086165e-07,3.157165442626748e-07,3.1874825520973276e-07,3.4873579273390573e-07,3.741877580289726e-07,3.9763524214356934e-07,4.2879070804464636e-07,4.630612468463067e-07,4.993030701970741e-07,5.352418526703667e-07,5.642491126838481e-07,5.917157953449275e-07,6.40890129289296e-07
DAC,LU,7.318557196502142e-08,9.610340963026496e-08,1.0678242427681423e-07,1.196640377952091e-07,1.2809380502648936e-07,1.359752624339353e-07,1.43374602007657e-07,1.5042910407045182e-07,1.5729457600277438e-07,1.630792399146897e-07,1.6977618884236002e-07,1.7687569964811932e-07,1.8469395139422105e-07,1.939038761922462e-07,2.0470676060639243e-07,2.1730254855809545e-07,2.3140799923359385e-07,2.4717988154561835e-07,2.64757700356781e-07,2.876667673433864e-07,2.876620740490024e-07,3.090385457320303e-07,3.369225403388591e-07,3.629040835864109e-07,3.9735199542253273e-07,4.334970232038756e-07,4.730571148192307e-07,5.071527257790346e-07,5.300088162080439e-07,5.537504950600915e-07,5.919674736061006e-07
DAC,LV,8.637940998058931e-08,9.889974597724104e-08,1.0752193658284813e-07,1.1817529462380528e-07,1.26514448746586e-07,1.340836517756804e-07,1.4138348146518408e-07,1.4867651367642212e-07,1.5615731766090053e-07,1.6297784017776857e-07,1.7103052413406143e-07,1.7771842480732556e-07,1.8580431931260363e-07,1.9546618000316012e-07,2.0708762271594426e-07,2.2060871937396563e-07,2.358550455052713e-07,2.531015279506689e-07,2.732692633885394e-07,3.0164880806800824e-07,3.0398494465538956e-07,3.2377227479460546e-07,3.4930037821651124e-07,3.7403460969803886e-07,4.0532356551582935e-07,4.3764374076089325e-07,4.693743476033796e-07,5.002145285870157e-07,5.252681420800838e-07,5.500786295942289e-07,5.948622637881575e-07
DAC,NL,7.393324905694295e-08,9.478473204623939e-08,1.0445934266960775e-07,1.1379662673774581e-07,1.1967469389433284e-07,1.2638970610739811e-07,1.3244408557459852e-07,1.376978062703223e-07,1.4425417966677177e-07,1.522629747439535e-07,1.6188965166209707e-07,1.6924531295467612e-07,1.7744921565846682e-07,1.864264070852276e-07,1.9685366459095413e-07,2.0856425804424916e-07,2.2143182437114717e-07,2.3568933716712057e-07,2.5250705322585565e-07,2.745249899290383e-07,2.724302725368207e-07,2.91242454005954e-07,3.1464261223414433e-07,3.3664225328001464e-07,3.6785311440688225e-07,4.0082654209144634e-07,4.3370930737320553e-07,4.642741363297049e-07,4.848814579231415e-07,5.050472141004052e-07,5.449475750482923e-07
