technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11
wind_onshore,power,LV,0.0471,0.0471,0.0471,0.0445,0.0445,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.0207
wind_onshore,power,NL,4.6588,11.8839,11.8783,11.828,11.8177,12.0603,15.9896,17.4787,19.2546,20.3149,20.602,20.2315
wind_onshore,power,NO,4.2247,4.221,4.2172,4.2172,4.2172,4.1772,4.176,4.1208,4.0035,8.5737,12.9007,15.6346
wind_onshore,power,PL,6.4444,48.2697,48.2697,48.2697,48.2517,48.2517,48.2366,48.2366,48.2366,48.5232,49.2594,51.8356
wind_onshore,power,PT,5.7502,6.6286,6.6189,6.5834,6.5633,6.4384,6.3624,6.1266,5.7848,5.6841,5.9614,6.1132
wind_onshore,power,RO,3.1146,3.1147,3.1147,3.1147,3.1147,3.1147,3.1147,3.1147,3.6527,4.5892,5.019,5.0582
wind_onshore,power,SE,10.6159,10.6131,10.6125,10.5879,10.5643,10.5219,10.4503,10.4032,10.382,10.2742,10.0761,9.9007
wind_onshore,power,SI,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
wind_onshore,power,SK,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0025,0.002,0.0,0.0,0.0,0.0
wind_onshore,power,UK,13.997,47.8416,47.8129,47.7565,47.6775,47.5863,51.4506,57.3507,62.8491,66.6469,74.0069,82.0604
