technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
battery,energy,AT,2.672367156836636e-07,2.954334469134759e-10,1.6850546888090728e-10,2.6972444688873414e-10,6.425941204516111e-10,5.43006474498752e-08,3.210615672116379e-08,3.092815056620722e-08,3.835630886664344e-09,4.6463892825179627e-08,2.59069074072858e-07,6.872119504063313e-08,8.986642276486198e-08,3.921330820446869e-07,2.2556727062097962e-07,3.532266441552066e-07,3.1763551991952756e-07,3.5558724609667657e-07,5.077963273235355e-07,1.487488374849946e-06,1.8176323453073176e-06
battery,energy,BE,2.527373417088167e-07,5.551481652280318e-10,2.1518777729962877e-10,3.391568636232878e-10,1.186375974623518e-09,6.554088383615124e-08,3.127817127080017e-08,2.774403912555023e-08,2.8230873197116246e-09,4.0870303654635854e-08,2.8104102896869425e-07,4.279133924076007e-08,8.578316943277211e-08,3.6489408357603087e-07,1.6442481692558674e-07,2.720274160984968e-07,2.5255155165080885e-07,2.601086428266853e-07,4.4888220779553736e-07,8.791147833137697e-07,1.394813558872939e-06
battery,energy,BG,2.4833316884909844e-07,5.596508018978387e-10,2.2010415432322393e-10,4.024278618352082e-10,1.4070182365710154e-09,6.48434715444575e-08,2.7207416600897594e-08,2.377906539041839e-08,2.6121089733341522e-09,5.94291202955324e-08,2.031249358464774e-07,9.558182962640191e-08,1.3796434657339015e-07,3.659108038704917e-07,1.96612065858457e-07,3.5728580498838355e-07,3.2405622334723323e-07,4.280842827593428e-07,8.32349997325604e-07,9.007635384137978e-07,1.14419083176841e-06
battery,energy,CH,2.583337730857919e-07,4.910026621012719e-10,2.003923185118814e-10,3.1418066365359446e-10,8.243874849776311e-10,6.159426019803395e-08,3.474797481265474e-08,3.238794174114145e-08,2.988180549276402e-09,4.688684373467501e-08,2.7625571158280813e-07,5.868116317007264e-08,9.399370596837119e-08,3.72616979423027e-07,1.9187838868926512e-07,4.045856985748538e-07,3.1240656506988293e-07,3.820123491394269e-07,5.953307804525613e-07,1.8007469601937838e-06,2.3417370570643517e-06
battery,energy,CZ,2.702730252266622e-07,3.0532753353606144e-10,1.7164904715243165e-10,2.900214189594574e-10,8.617237084287921e-10,5.265519070498102e-08,3.1705689385644065e-08,2.995992564151145e-08,2.582444180316929e-09,4.098479249076817e-08,2.2261195939394493e-07,8.942857836943488e-08,1.1372006576087235e-07,4.1189110505842654e-07,2.1478395752168725e-07,4.0065705615688273e-07,3.836655913312441e-07,3.471474221727829e-07,6.69781883410603e-07,1.3610506905380322e-06,1.2079515140928939e-06
battery,energy,DE,2.841881131126302e-07,2.851213007590362e-10,1.6783693180351875e-10,2.5096523486931496e-10,5.648113922844305e-10,5.469067991929045e-08,3.2011201022531066e-08,3.014996709259928e-08,2.9753609560489405e-09,4.56307613333014e-08,2.3077541207443782e-07,7.71702308999896e-08,1.0845037520346273e-07,3.991350878034738e-07,1.9661679594751733e-07,3.4471024107938064e-07,3.426581754287565e-07,3.5992023362513e-07,5.189204927662188e-07,1.2226697746603738e-06,1.8108254646454714e-06
battery,energy,DK,2.6478158496123395e-07,2.896414426441408e-10,1.7006527165758967e-10,2.7240550294512643e-10,8.152071341866836e-10,5.421877447293128e-08,2.855287970221785e-08,2.3613319624742276e-08,2.3242452005524915e-09,3.6192730912036425e-08,1.9818395836024264e-07,7.566873206428904e-08,9.567303050941587e-08,4.161059771430748e-07,1.7182710681333634e-07,3.1738880068486394e-07,2.734205855531534e-07,3.120281298665419e-07,5.157580824099736e-07,3.1901065166814597e-07,5.242781993779849e-07
battery,energy,EE,2.552617376211779e-07,2.7210903534050574e-10,1.6969074075724766e-10,3.363436372877017e-10,1.0452925189312062e-09,5.744690664064575e-08,2.7811208602552514e-08,2.4032890667463543e-08,2.0384381453449407e-09,3.177764714961927e-08,2.443318218121542e-07,2.68405750453495e-08,6.96168248181135e-08,3.3569174686452745e-07,1.764051587871355e-07,2.699818254285046e-07,2.059899079209643e-07,2.1255913971403966e-07,4.996822353901978e-07,4.6823774127819847e-07,6.225999122463094e-07
battery,energy,EL,2.528846271038022e-07,5.161414964186626e-10,2.1274344606748296e-10,3.571745951078093e-10,1.019354709561769e-09,5.739923736449815e-08,2.7583790385169952e-08,2.2789983124476986e-08,2.6706872577824522e-09,4.426317428245648e-08,1.9106092603873676e-07,6.723995567819082e-08,1.6115926757573513e-07,3.6873446352000643e-07,2.2412727959872472e-07,3.079245677149398e-07,2.98448074099075e-07,3.8125999933030437e-07,6.112449864288076e-07,8.211638284372799e-07,9.706145910628521e-07
battery,energy,ES,2.4077699999120185e-07,5.158536762691428e-10,2.1392983480583077e-10,4.2140985080811027e-10,1.3654874149101506e-09,5.5345939946879565e-08,2.57723889277897e-08,2.366532239153111e-08,2.8887069071194413e-09,3.562527293243208e-08,1.7237958716069326e-07,5.4674548134399935e-08,7.959352782620349e-08,3.2227322196119507e-07,1.0780976051566189e-07,2.0241467958713582e-07,1.7192427142979765e-07,2.5352033798307307e-07,3.3120066549986366e-07,3.9374780315468326e-07,5.27819204951729e-07
battery,energy,FI,2.637748071365447e-07,2.753061473672402e-10,1.6896016654553656e-10,2.8166182759282886e-10,7.923262914439972e-10,5.779966822688541e-08,2.8437935280309065e-08,2.5477864987940214e-08,2.9322099128455215e-09,4.009055699867877e-08,2.434944829564116e-07,4.383414849563366e-08,7.479645552705573e-08,3.6239557438537146e-07,1.2652923879376376e-07,2.833124144799743e-07,2.072442435945053e-07,2.3305388262826968e-07,4.6586693884053947e-07,4.2031087198366843e-07,7.721581253097315e-07
