technology,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
battery,FR,3.0468116660781045e-07,3.0527120332053993e-07,3.055367284729059e-07,2.7992169877053433e-07,2.5521251499186773e-07,2.8788064837613046e-07,2.938871356673272e-07,2.937995303429281e-07,2.74761340427018e-07,2.776082307749326e-07,3.6788400700611056e-07,3.834496954163044e-07,4.1301434404135924e-07,4.3926786690659983e-07,4.798822746007613e-07,5.737656364938687e-07,6.232899462582928e-07,6.828215530709084e-07,7.89128731007499e-07,1.0587153531855021e-06,1.2553439554336398e-06
battery,HR,3.1875172714582856e-07,3.1923253237815797e-07,3.1946321105002516e-07,2.925624144150205e-07,2.662382387223423e-07,2.937376368954901e-07,2.959897898440311e-07,2.961722382614711e-07,2.7684124266201415e-07,2.850734685791219e-07,4.348335572518567e-07,4.441807352364125e-07,5.061971267509569e-07,5.403413067289138e-07,6.056550921256575e-07,7.486109545689995e-07,8.536232900348264e-07,1.0298451343396802e-06,1.2322417221993536e-06,1.8525591072221404e-06,2.6543475307623783e-06
battery,HU,3.156339129259533e-07,3.162507919390183e-07,3.16510032205778e-07,2.899508405802593e-07,2.6407280676550536e-07,3.002521631710303e-07,3.048918495020576e-07,3.037014516695483e-07,2.837512325395263e-07,2.921811165258517e-07,4.178566142622737e-07,4.595737643566921e-07,5.124411356989231e-07,5.62086965395246e-07,6.342462356901112e-07,8.14350291247113e-07,9.361192758537203e-07,1.1217021376378944e-06,1.4599946747041202e-06,2.223862344836544e-06,3.534675047397975e-06
battery,IE,3.073237584220671e-07,3.0800481953672435e-07,3.0827140629056805e-07,2.8236118819227464e-07,2.573232570963661e-07,2.90410548453945e-07,2.969484938856156e-07,2.962985381041185e-07,2.7713416579986583e-07,2.837975384379438e-07,3.627810758897621e-07,3.8557689373312326e-07,4.207510812857528e-07,4.514691066771483e-07,4.832577996276734e-07,5.62110192852432e-07,6.213743754403946e-07,6.927805681476496e-07,7.964495556665159e-07,9.59430144608805e-07,1.1395217201033775e-06
battery,IT,3.283603457394856e-07,3.289294442791285e-07,3.2917153329135263e-07,3.01462755375872e-07,2.7426050375026186e-07,2.9236787922366567e-07,2.9986093612865006e-07,3.0579840590063466e-07,2.867073941951701e-07,2.9814784668878536e-07,4.026831036129553e-07,4.4014026344899366e-07,4.993721512953796e-07,5.460859853602268e-07,6.224483847106754e-07,7.796556572995754e-07,9.212387752657214e-07,1.13243557722611e-06,1.4832305868587845e-06,2.153796959046221e-06,2.9427311748691113e-06
battery,LT,3.1819535283995604e-07,3.1853816746617746e-07,3.187490596210221e-07,2.919038847368567e-07,2.657925907622887e-07,2.9154905349488413e-07,2.9730261332246285e-07,2.9712765212554597e-07,2.7722311974023255e-07,2.795609081428167e-07,3.61120971581569e-07,3.899559513913801e-07,4.2475602750624373e-07,4.5664083476413833e-07,5.259618077648753e-07,6.327316904769035e-07,7.112072021393123e-07,7.964031600937257e-07,9.73798419762816e-07,1.1409372285699485e-06,1.3309738749063229e-06
battery,LU,2.998254498410569e-07,3.005016945055788e-07,3.0078081103642607e-07,2.756903049628956e-07,2.5183831988325494e-07,2.866887432683907e-07,2.9306985390157807e-07,2.9194722894760807e-07,2.727055667975561e-07,2.7490533598147596e-07,4.0442696742381144e-07,4.0694770539756684e-07,4.2892142168032064e-07,4.548004296897669e-07,4.987256208158805e-07,6.02752391933255e-07,6.612690345572852e-07,7.297136077257964e-07,8.48714402611043e-07,1.1368999188791008e-06,1.3495854930383922e-06
battery,LV,3.192924944310453e-07,3.1963229987146353e-07,3.198429386565224e-07,2.929022743765636e-07,2.666522455245684e-07,2.921529799490597e-07,2.975847993890572e-07,2.974612400003163e-07,2.7757307216294044e-07,2.7824323218686156e-07,3.764479488290878e-07,3.982292741713244e-07,4.306612730554405e-07,4.6091694922284073e-07,5.314115593127102e-07,6.410759367075692e-07,7.216823955733456e-07,8.094247186841848e-07,9.914657404337706e-07,1.1706786433978012e-06,1.4199092865189766e-06
battery,NL,3.16988689511415e-07,3.1768319540683947e-07,3.1794781095748775e-07,2.9123328797492016e-07,2.651834338271672e-07,2.9855655940089265e-07,3.070333484768421e-07,3.072820069251819e-07,2.8682722547994885e-07,2.920962371824969e-07,4.1371339523690394e-07,4.3706608720168646e-07,4.7591672161635814e-07,5.394789904622088e-07,6.209917453474404e-07,7.612691054929185e-07,8.824981331027637e-07,1.0072405277499784e-06,1.1932748658338047e-06,1.3934507441199612e-06,1.6656071533630131e-06
battery,NO,3.067952631610543e-07,3.0715877086718195e-07,3.07375029089943e-07,2.814974077300178e-07,2.561856187596072e-07,2.7737125987668896e-07,2.815740995139334e-07,2.804173001218089e-07,2.624974364032888e-07,2.6721765247206447e-07,3.577760717445744e-07,3.719063576550831e-07,4.0209002699497176e-07,4.3300777218243565e-07,4.7522473726889127e-07,5.604737125376703e-07,6.239425398385416e-07,6.999087949344657e-07,8.153086224873091e-07,1.0150109587002127e-06,1.277203442638286e-06
