technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DAC,power,SE,9.301102900810059e-10,1.0233443297131846e-09,1.1009385956983274e-09,1.1972932975729306e-09,1.2868328720094132e-09,1.35950310673261e-09,1.4168202783057305e-09,1.4866526989358252e-09,1.5736525034988292e-09,1.6755754257059529e-09,1.7936454001361366e-09,1.922758052341091e-09,2.064440624248115e-09,2.223093283837067e-09,2.4004796931081204e-09,2.5886891822987868e-09,2.779742605396267e-09,3.028561625588038e-09,3.328522642869932e-09,3.6815936584063957e-09,3.6525767373588906e-09
DAC,power,SI,9.512758027470717e-10,1.0628062294654307e-09,1.1429615013588394e-09,1.2403752924484245e-09,1.3285649190389592e-09,1.4103165572332084e-09,1.4937161879452528e-09,1.579646770091107e-09,1.669046465559229e-09,1.756775878193787e-09,1.8403305117713841e-09,1.9136894587958925e-09,1.972608096863738e-09,2.056168116892464e-09,2.162827787637892e-09,2.2826531703186015e-09,2.4166156700921845e-09,2.5932412687305455e-09,2.791204258382929e-09,3.0796672249962243e-09,3.206206533627426e-09
DAC,power,SK,8.855120870139661e-10,1.025500756105403e-09,1.0994937231804492e-09,1.187003693412177e-09,1.2374002672868398e-09,1.297035924652898e-09,1.3615590944607514e-09,1.435253804064452e-09,1.51352739124806e-09,1.5935772351634937e-09,1.680271016984764e-09,1.7699951008055027e-09,1.868855840523874e-09,1.9770458345759083e-09,2.089886873077793e-09,2.213569025644543e-09,2.352745690173865e-09,2.5298940412819435e-09,2.716205531131683e-09,2.9646142705739276e-09,3.0761332897920627e-09
DAC,power,UK,8.671822824569848e-10,1.0330623789314493e-09,1.1197819661643454e-09,1.2141804699329401e-09,1.265970511445174e-09,1.3306113356295604e-09,1.4075793327774497e-09,1.4954214929392097e-09,1.593531325292266e-09,1.7027660865127683e-09,1.827751204825076e-09,1.9588927777687254e-09,2.101149470977265e-09,2.2609034428778854e-09,2.445022989248278e-09,2.65201159518008e-09,2.863514246035143e-09,3.061848685738667e-09,3.2781827854498364e-09,3.550830686270062e-09,3.5436421920888887e-09
battery,energy,AT,2.672367156836636e-07,2.6753181979150263e-07,2.6770017640179664e-07,2.6796975601361526e-07,2.6861224363325645e-07,3.2291291796962637e-07,3.5501896075753454e-07,3.859470486737222e-07,3.8978261547850294e-07,4.362464445757807e-07,6.953152717008981e-07,7.640364978026413e-07,8.539028836270346e-07,9.787993514745489e-07,1.2040714265697903e-06,1.5571296896678968e-06,1.8744955113514695e-06,2.2294401592769072e-06,2.682935847550529e-06,4.138318056493792e-06,5.925022228921958e-06
battery,energy,BE,2.527373417088167e-07,2.532920283292563e-07,2.535070972125181e-07,2.538461361935356e-07,2.5503242512446e-07,3.205731306848639e-07,3.51851233419597e-07,3.7959521192109256e-07,3.8241827646426305e-07,4.2328851465648313e-07,7.043293005106626e-07,7.471207370383374e-07,8.329039148240463e-07,9.450609749341682e-07,1.108930881633014e-06,1.3807432054719387e-06,1.632955628606833e-06,1.89187775890399e-06,2.2752190764662467e-06,3.1230556688936853e-06,4.490125223237276e-06
battery,energy,BG,2.4833316884909844e-07,2.4889223898293845e-07,2.4911220867319103e-07,2.4951451481658225e-07,2.5092143726671447e-07,3.1576483812257487e-07,3.429721823816204e-07,3.6675118625021347e-07,3.693632322230639e-07,4.2879229106397324e-07,6.319170935749979e-07,7.274988964416913e-07,8.654632201219797e-07,9.83041185907542e-07,1.1790938403097743e-06,1.536159645715359e-06,1.8598134724035774e-06,2.2864907592158686e-06,3.0539971830945623e-06,3.927553294182857e-06,5.047965070535661e-06
battery,energy,CH,2.583337730857919e-07,2.58824229596248e-07,2.590244708579567e-07,2.593385145373575e-07,2.6016279695035614e-07,3.2175703128548993e-07,3.565049311524866e-07,3.888928083415075e-07,3.9188092315564527e-07,4.387677014635827e-07,7.1502319382103e-07,7.73704353580946e-07,8.676980375151457e-07,9.819815459501285e-07,1.1733691684305331e-06,1.5777545945981935e-06,1.889847015769585e-06,2.2710349741918144e-06,2.804771503843228e-06,4.5707704810912656e-06,6.880119577736625e-06
battery,energy,CZ,2.702730252266622e-07,2.705778197642045e-07,2.707493308371007e-07,2.710392249634446e-07,2.7190084869896036e-07,3.245559496912974e-07,3.562615652860493e-07,3.8622142670003367e-07,3.888038066240959e-07,4.2978853453692494e-07,6.524003162519859e-07,7.418288900449396e-07,8.555489327596841e-07,9.97167314659748e-07,1.2116461798073502e-06,1.6121316959224774e-06,1.995507314694725e-06,2.341792999369251e-06,2.9589197298908127e-06,4.2882647166231626e-06,5.466256270942159e-06
battery,energy,DE,2.841881131126302e-07,2.8447304317072524e-07,2.846407843193119e-07,2.848916480278126e-07,2.8545637023800464e-07,3.401472495745844e-07,3.7215835864299075e-07,4.0230824227228e-07,4.0528352246606305e-07,4.50914203447605e-07,6.816892211676482e-07,7.588596946305834e-07,8.67310030339802e-07,9.822568624367424e-07,1.1785886147972802e-06,1.5231310915959759e-06,1.865538321719461e-06,2.224893378403458e-06,2.689123210425578e-06,3.879781793504879e-06,5.660457429370916e-06
