technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DAC,power,NO,4.5818904340236847e-07,5.04355311852481e-07,5.447469313465813e-07,5.992442837047062e-07,6.430855528814071e-07,6.853718199376047e-07,7.285277203774455e-07,7.740150624960236e-07,8.235887578513788e-07,8.780126081896752e-07,9.357048685053779e-07,9.903166394197194e-07,1.039041533490447e-06,1.0766508090360834e-06,1.1350518429079977e-06,1.2136903205274251e-06,1.3020186950947903e-06,1.4192202595529946e-06,1.5826034980881116e-06,1.7668401232360403e-06,1.7490756925654187e-06
DAC,power,PL,4.415402352045468e-07,4.860789506379482e-07,5.223745917869218e-07,5.778182431523822e-07,6.205937908091287e-07,6.593136672494494e-07,6.982520048891119e-07,7.37563222449762e-07,7.78634465308091e-07,8.21977913317501e-07,8.679446234792488e-07,9.158893761747488e-07,9.669975998265569e-07,1.021352364250847e-06,1.0787822945046706e-06,1.1390325979285944e-06,1.2036765475566183e-06,1.2832228202836297e-06,1.377723217644017e-06,1.5060365915382449e-06,1.540440885037269e-06
DAC,power,PT,4.1626038057573105e-07,4.64770517855797e-07,5.00280957387085e-07,5.420028803239639e-07,5.690680194729374e-07,5.992311540659552e-07,6.330822170827124e-07,6.704266173646967e-07,7.123295136023691e-07,7.593225480546235e-07,8.126510053850812e-07,8.681508825111963e-07,9.285184003393046e-07,9.957496325310483e-07,1.0686051718707425e-06,1.1458591736659053e-06,1.2292911654814733e-06,1.3376577146477388e-06,1.436193847971779e-06,1.5664868890825422e-06,1.616176297913039e-06
DAC,power,RO,3.886404771223316e-07,4.7551448784794734e-07,5.115066480103359e-07,5.472923070341259e-07,5.68854672433088e-07,5.952074048480176e-07,6.231437753333672e-07,6.516576012330184e-07,6.836305283578748e-07,7.227121937097988e-07,7.696279485940657e-07,8.16683148961685e-07,8.694972485827929e-07,9.259879327706791e-07,9.86383659972595e-07,1.052486537431325e-06,1.126184009070769e-06,1.2107243034722466e-06,1.30525523113455e-06,1.4267825025959096e-06,1.492544477766728e-06
DAC,power,SE,4.354514629949826e-07,4.790996000682558e-07,5.154626980452449e-07,5.606137792806996e-07,6.025763246760518e-07,6.366395296752677e-07,6.635133341534676e-07,6.962455279191584e-07,7.370149994324991e-07,7.847735080683764e-07,8.400967466631912e-07,9.00582363007172e-07,9.669560194570611e-07,1.0412739348408087e-06,1.1243614307442906e-06,1.212514598154595e-06,1.3019998198168238e-06,1.4185332858394492e-06,1.559012054829526e-06,1.7243564810193117e-06,1.7110219226734938e-06
DAC,power,SI,4.453605603931788e-07,4.975727340712975e-07,5.351178307508813e-07,5.807497956050693e-07,6.220743465556486e-07,6.603802441194851e-07,6.994590000969862e-07,7.397239996421613e-07,7.816190883328764e-07,8.227525986191847e-07,8.619688823810794e-07,8.96340390473703e-07,9.23940593150477e-07,9.63091803374498e-07,1.0130616386328258e-06,1.0692000844431962e-06,1.1319802577002159e-06,1.2147936930264707e-06,1.307532519113871e-06,1.442622132770163e-06,1.502017333759121e-06
DAC,power,SK,4.1457183938518637e-07,4.80115707101552e-07,5.14775542179801e-07,5.557662168751987e-07,5.793998412339457e-07,6.073506462377418e-07,6.375904366366872e-07,6.721249506188412e-07,7.088093618226914e-07,7.463491391546024e-07,7.870331172680041e-07,8.290722124581639e-07,8.75367286286625e-07,9.26050563593865e-07,9.789133964793687e-07,1.0368577545722875e-06,1.102081458726302e-06,1.1851423854063863e-06,1.2724310573492764e-06,1.388772457031528e-06,1.441119422073161e-06
DAC,power,UK,4.0599034072221117e-07,4.836462017803352e-07,5.242817505663244e-07,5.685188251758855e-07,5.928104224328834e-07,6.231143222906951e-07,6.591885960179412e-07,7.003535648101097e-07,7.463250543980376e-07,7.975075887844985e-07,8.560717265213705e-07,9.175043236082691e-07,9.84145612305143e-07,1.0589810730073353e-06,1.1452203482803454e-06,1.242165629667488e-06,1.34122807613071e-06,1.434127100734356e-06,1.5354540502110731e-06,1.6631494848656102e-06,1.6599913626404674e-06
battery,energy,AT,8.246235392846954e-06,8.255351706598738e-06,8.260551350509267e-06,8.268279651190337e-06,8.285274810939265e-06,9.601679681905332e-06,1.0335237805414846e-05,1.0998736235373572e-05,1.10756709295692e-05,1.1942821893091549e-05,1.641640095673206e-05,1.755676650163468e-05,1.8987464651814684e-05,1.6719871350052984e-05,1.999786768108156e-05,2.4902107224380816e-05,2.9172286437307627e-05,3.379112336215061e-05,3.887612880231354e-05,5.625332997277166e-05,7.693707897841665e-05
battery,energy,BE,7.798822130265779e-06,7.815952569983488e-06,7.822592709459594e-06,7.832310427858366e-06,7.863687386609322e-06,9.45258812317925e-06,1.016722852138963e-05,1.0762418536424966e-05,1.081904373474233e-05,1.1581802105568342e-05,1.6434790706070917e-05,1.71448739469335e-05,1.851056558178549e-05,1.6275087190538985e-05,1.8654061883200896e-05,2.2428286179315237e-05,2.5819926661202248e-05,2.917961618509946e-05,3.3249439308566236e-05,4.3238369103951696e-05,5.902461631667506e-05
battery,energy,BG,7.66292072158728e-06,7.680190101052742e-06,7.686981947236188e-06,7.698512542829494e-06,7.735724989907868e-06,9.307718433821576e-06,9.929350653480554e-06,1.0439480495181052e-05,1.0491873911285771e-05,1.1600993612457893e-05,1.5108534848547577e-05,1.6694628122394947e-05,1.889105843930882e-05,1.68069828439628e-05,1.9654872075587134e-05,2.4613937027208073e-05,2.896678782397207e-05,3.451055971958219e-05,4.3431383117081975e-05,5.3776903246859355e-05,6.670476314074521e-05
battery,energy,CH,7.971513559945974e-06,7.986664634976376e-06,7.992848224776676e-06,8.001850310664333e-06,8.023653493351976e-06,9.516876649173291e-06,1.0310794757176687e-05,1.1005609936921762e-05,1.1065546558445798e-05,1.1940591012297757e-05,1.6710947227028362e-05,1.7684707601457133e-05,1.9181113234619738e-05,1.6890690250902397e-05,1.967171557142883e-05,2.528880224177138e-05,2.9487284231819142e-05,3.4445820260649225e-05,4.04574891086911e-05,6.158837747099268e-05,8.839617607083632e-05
battery,energy,CZ,8.339928069592589e-06,8.34934968932405e-06,8.354646335947459e-06,8.362956197198536e-06,8.385746838472833e-06,9.66226107506033e-06,1.0386669362614017e-05,1.1029396562944662e-05,1.1081194965648302e-05,1.1846090030120245e-05,1.5690131255128342e-05,1.7174116937301485e-05,1.898457164014567e-05,1.6924525606533157e-05,2.0045075195487504e-05,2.5608445252456303e-05,3.0767334312423345e-05,3.527034479438287e-05,4.2437272197616986e-05,5.8284194389005245e-05,7.182829651536844e-05
battery,energy,DE,8.769311771327925e-06,8.77810987886176e-06,8.783288893443361e-06,8.790479694343828e-06,8.805417677021202e-06,1.0131278064020428e-05,1.0862666649621355e-05,1.1509470789636897e-05,1.1569150277063882e-05,1.2420752591258867e-05,1.640575950709351e-05,1.7686329094954927e-05,1.9412888875752045e-05,1.6728975009462192e-05,1.958540444294544e-05,2.4371296526171612e-05,2.8979017759155828e-05,3.365640152099782e-05,3.887218551838847e-05,5.302728502861381e-05,7.364778467326058e-05
battery,energy,DK,8.170476394665991e-06,8.17941398211335e-06,8.18466175751221e-06,8.192466877360342e-06,8.214027260552507e-06,9.52844729357076e-06,1.0180820513980074e-05,1.0687394628833505e-05,1.0734014102662925e-05,1.1409475403354236e-05,1.48316963305053e-05,1.6087349914840704e-05,1.7610490856258664e-05,1.5784158384181303e-05,1.8279196900923286e-05,2.2685284004835278e-05,2.6359900730029018e-05,3.0406287191413083e-05,3.559364538942123e-05,3.8825353027900216e-05,4.4476182788538644e-05
battery,energy,EE,7.876718473456555e-06,7.885115056060101e-06,7.890351274401921e-06,7.89998838661443e-06,7.927634007354175e-06,9.320313308157849e-06,9.955740904559383e-06,1.0471316033796321e-05,1.0512202818782352e-05,1.1105265854803571e-05,1.532436350878523e-05,1.5769758367954837e-05,1.6878077353225767e-05,1.411947030502634e-05,1.668176417080803e-05,2.0428961058873462e-05,2.319359105333007e-05,2.5937103539570614e-05,3.084354623276436e-05,3.590909833342835e-05,4.270566991770073e-05
battery,energy,EL,7.803366977458168e-06,7.819293772040252e-06,7.825858485762578e-06,7.836092458613288e-06,7.863052083014534e-06,9.25457574258255e-06,9.884807311248846e-06,1.037371847292684e-05,1.042728684630292e-05,1.125336602077083e-05,1.4552587132613326e-05,1.566837286146816e-05,1.8234072695857494e-05,1.6052601663876396e-05,1.9302803030445494e-05,2.357603137440685e-05,2.758528885809631e-05,3.252885997367099e-05,3.884284686667982e-05,4.821060969527444e-05,5.912111596447562e-05
battery,energy,ES,7.429756850706331e-06,7.445674763901373e-06,7.452276086518472e-06,7.464350565026358e-06,7.500464615891372e-06,8.842210402652431e-06,9.43105525955692e-06,9.938744984412444e-06,9.996686373739746e-06,1.0661557263170774e-05,1.3638190869018303e-05,1.4545465121724825e-05,1.5812615960978827e-05,1.3296385506974961e-05,1.4851541384965006e-05,1.7658268491771113e-05,1.9961665950115325e-05,2.3230725889092967e-05,2.6064180357045023e-05,3.0269370738353663e-05,3.596067235432572e-05
