technology,location,0,1,2,3,4,5
biomass_plant,NL,37.00751616069299,34.16176084130499,33.038129303937225,27.595311271967866,2.4478325985944984,2.3045506361265766
biomass_plant,NO,0.1109667540030439,0.10660748637918445,0.07192126822570273,4.860728571459201e-07,6.339001584812084e-07,2.709081022718245e-06
biomass_plant,PL,30.658255153393643,29.24239897578691,28.60211296737519,26.440776931132497,1.2995094932372114e-06,2.223076730126654
biomass_plant,PT,6.00974440177626,5.766466185269173,5.705893721483883,2.7444875740879793,1.931499478599731,7.327434488591501e-06
biomass_plant,RO,0.796156868821911,0.7595793776612543,0.8017312882177098,0.9212996447227451,9.496386102579296e-07,2.6366869976551317e-05
biomass_plant,SE,40.180273964527984,33.44194092290329,29.807247684519716,16.307530961331338,7.739718057944793,1.3773444435690471e-05
biomass_plant,SI,0.4235827660024591,0.4025354121033068,0.4378231242431586,6.706203505558634e-07,9.69426541176405e-07,8.041931511393507e-06
biomass_plant,SK,0.1591634537222446,0.1510330903874385,0.18749142001435531,0.1902520873440287,1.161078442651829e-06,9.552173779032541e-05
biomass_plant,UK,292.3222614343101,263.7140208646831,232.83936639246042,237.8429674910238,145.9810517319128,1.709446332696458e-05
biomass_plant_CCS,AT,8.419638854307524e-07,4.554158369907174e-06,3.327724731625807e-05,3.29963839556996e-05,4.550920837150416e-05,4.3971475688918e-05
biomass_plant_CCS,BE,5.878984169829425e-07,45.38312888681723,116.22104095525498,114.64125731227325,112.94414344155678,108.61170879538363
biomass_plant_CCS,BG,7.224166405144163e-07,6.029226486537931e-06,58.56706535968421,57.79690516158522,56.91125062477944,54.723633136842594
biomass_plant_CCS,CH,8.497170292389695e-07,7.251401303261633e-06,27.173201400330093,26.79747338086481,26.369004432868415,25.36363402803876
biomass_plant_CCS,CZ,5.582355708140285e-07,3.095143464230193e-06,9.979632293191064e-06,1.7109319027265e-05,1.6333318605427303e-05,2.400011635727199e-05
biomass_plant_CCS,DE,9.992329626573802e-07,85.96553400551744,898.8918206749737,917.6819380828018,903.7274672253731,869.0552750349889
biomass_plant_CCS,DK,9.216555316751976e-07,37.60103088156693,153.90518740120166,151.87521604425427,149.5501897315962,143.80163094179824
biomass_plant_CCS,EE,5.985950549020389e-07,2.0894164412402377e-06,2.8090315376579333,2.7679380460494416,2.7265960387302997,2.623143601872501
biomass_plant_CCS,EL,7.396408452498156e-07,1.349875369841763,61.517503893413526,60.677320416892236,59.747528040021784,57.4508878551981
biomass_plant_CCS,ES,3.743552027387379e-07,9.130405982867703e-07,1.5526261951288992e-06,3.2062514415738166e-06,5.305426459906651e-06,1.47158961251512e-05
biomass_plant_CCS,FI,5.778429357563703e-07,1.18806637807814e-06,77.63126357646031,212.39234459323302,209.35125247146195,201.29861759227157
biomass_plant_CCS,FR,4.867719950753656e-07,2.55974646026851e-06,221.04006847773752,218.01392877708582,214.54022188788122,206.33162222553432
biomass_plant_CCS,HR,6.204009833978906e-07,4.705059947170012,4.900145035854022,4.837698135209827,4.763566407168356,4.58045374868425
biomass_plant_CCS,HU,5.366685394891082e-07,1.5674578219500195e-06,2.624308241182087e-06,5.422328001329735e-06,9.762695444356352e-06,2.119044635789585e-05
biomass_plant_CCS,IE,8.009819108846867e-07,4.499223533988073e-06,15.200562242265192,14.993089664554933,14.763342095124427,14.195850978248025
biomass_plant_CCS,IT,9.997402146359065e-07,16.4168040695079,80.08214805195333,78.98281160817032,77.77251311556331,74.78300987741181
biomass_plant_CCS,LT,5.594271157268761e-07,1.8143694122168472e-06,3.1700647570901746e-05,3.1350970994802104e-05,2.9806420661507532e-05,2.727140103137157e-05
biomass_plant_CCS,LU,6.589351238042367e-07,2.2790453621023797e-06,0.5773662774498243,0.5694388029733066,4.84047255040877,4.707124041587457
biomass_plant_CCS,LV,5.987309136132732e-07,1.8402748334725843e-06,1.4983307345300279e-05,2.3763932089255825e-05,2.2578530304234363e-05,2.07475009758905e-05
biomass_plant_CCS,NL,5.876985129587106e-07,37.9343752761881,168.08325365001392,165.8135052637914,169.58778858196885,163.11195000488235
biomass_plant_CCS,NO,4.498137769276705e-07,2.4175018365177807e-06,48.92348532464577,58.293466302445765,57.400202325521164,55.19379205177418
biomass_plant_CCS,PL,4.876669646665455e-07,1.0824669475989233e-06,6.934470191610105e-06,4.1027393994541696e-05,4.7085975615007524e-05,4.425684877329003e-05
biomass_plant_CCS,PT,3.418134142012063e-07,7.295119369578872e-07,1.1758537501871602e-06,2.216351309251872e-06,3.4076071596246034e-06,1.2301844482087355e-05
biomass_plant_CCS,RO,6.375576212303857e-07,1.7752165943991567e-06,3.769302983646526e-06,3.993631550902998e-06,5.583215735391213e-06,1.6723212727613108e-05
biomass_plant_CCS,SE,6.120646451203906e-07,2.5356522906427596e-06,258.87465422131083,374.4577762036474,368.8249867400009,354.6477387878906
biomass_plant_CCS,SI,5.861955467768216e-07,4.473996010722486e-06,5.78535300545421e-06,5.770306506422301e-06,5.501298338335848e-06,1.1650560418937617e-05
biomass_plant_CCS,SK,7.717413234577305e-07,4.154794333888294e-06,9.818646652664868e-06,1.3159471640639525e-05,1.2682902661177224e-05,2.647488382249331e-05
biomass_plant_CCS,UK,5.748107210819159e-07,2.1920634066256585e-06,406.94669332061846,401.4814291875715,395.774063359321,380.5647034994481
carbon_pipeline,AT-CH,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,AT-CZ,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,AT-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,AT-HU,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,AT-IT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,AT-SI,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,AT-SK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-LU,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-NL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-NO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-UK,0.0,0.0,0.0,0.0,0.0,0.0
