technology,location,0,1,2,3,4,5,6,7,8,9
biomass_boiler,DE,290.8243340812812,277.54955679941384,197.8858459876077,187.73455845774848,152.51647296566318,98.33898392721389,57.883507847127674,58.29120597895053,42.758072274147366,33.96662365860105
biomass_boiler,DK,34.64069322022911,29.623460737193426,18.640892394069542,17.79798487769178,12.265621960457782,5.791068836158241,5.055389940772572,5.09099719930738,5.315003613425536,5.539010061211736
biomass_boiler,EE,16.459856294485277,16.410473778740077,16.423607778669506,16.759304888999374,16.744752916181397,15.050823623235809,15.09216407972038,15.481030061073124,17.538862896401238,17.54670640562372
biomass_boiler,EL,37.36543774608413,37.25333475689158,37.28315013303645,29.86299544984347,3.0748263773837317,3.0399962996305203,3.177732864998329e-07,5.12786962771483e-07,5.819168528501248e-07,1.6281785053801096e-06
biomass_boiler,ES,48.33849791976906,44.504492867731344,32.80533658468707,13.222180712639174,2.8212976943598096,2.7893394549260755,0.36775668182721466,0.37034694974442683,0.38664240414602824,0.40293787766535083
biomass_boiler,FI,32.33693303939301,26.482152905272958,31.705770871513664,33.09341068968567,29.186794265263757,26.312759372729627,24.77192517540154,24.946404362424083,10.641621793348275,9.464268638608045
biomass_boiler,FR,203.18952184497442,178.38024414645125,131.3580643587062,58.56061764955839,25.73037166872508,8.225511775460106,9.510979814881854e-07,9.707216375186714e-07,1.030286738547824e-06,2.2210897066076876e-06
biomass_boiler,HR,38.433569472743294,35.68728297224662,31.0486912395911,18.953131909205215,14.958614567445741,11.850063528029143,11.714294048543177,11.79680279988967,12.315868014141397,1.2211951619708572
biomass_boiler,HU,48.39129881679005,48.24611627441187,40.51742239388717,14.268275091353726,1.8719022155199856e-06,1.8633518846820663e-06,1.852175325820935e-06,1.8758072758528736e-06,1.9754672571928797e-06,2.6896270705597268e-06
biomass_boiler,IE,1.341485133566939,1.3374606233606905,1.3385310593170079,0.9818934777243662,0.22920491679579913,2.912378925950399e-07,2.6012469932660026e-07,3.3061835641266487e-07,3.900914303539373e-07,1.0713731962290455e-06
biomass_boiler,IT,235.84102170766513,220.85635546374337,144.71309205067362,147.67101398067044,78.37517925942174,64.27330524167088,56.121811880125904,56.517101636883375,0.12324983646522086,0.12844438054144675
biomass_boiler,LT,18.985324133275324,18.858362861974413,17.921444610054582,17.381393108907403,12.875379811312865,7.992818499898622,3.0166504466676036,3.0378979996114652,3.1237368060908137,3.2553891238599975
biomass_boiler,LU,2.3890387504616606,2.381871211411196,2.3837775258668685,2.432501929295644,2.4303897274721757,2.40285883875083,2.37532094832151,2.3920513737728766,2.4973028364682506,2.540171965054825
biomass_boiler,LV,16.65396733578947,16.01323697694177,15.898353687021615,16.074115317908507,15.240648011122277,15.068009132379194,14.895370393025413,15.000284838295537,15.66030486831068,12.975608735504393
biomass_boiler,NL,22.475283905934123,20.622133271024534,17.67978349595387,15.509382115492395,10.201303358151709,6.820142405623921,3.501513771438656,3.5261764296453464,3.732127764358498,3.2061398261821217
biomass_boiler,NO,15.104005713763613,13.560219642795081,12.51112901452013,10.699123825718413,6.847042713077348,3.5080402422089865,1.9539771791251002,1.967739936037662,2.0543214356000283,2.1409029843553267
biomass_boiler,PL,173.97121481541083,173.44927008564835,168.57829199739183,158.40670866250895,110.25298136168095,103.74866388750156,46.597019356970364,46.92522200473187,48.989955215962105,51.054688518642635
biomass_boiler,PT,7.936096478787469,7.385414995954047,3.7654870223682697,2.182318199227552,0.7132627886286058,0.19330979099021592,0.11104119375913381,0.11182330603863479,0.11674359086878945,0.12166389244152091
biomass_boiler,RO,54.03866060073951,53.87653490726743,53.91965453511971,53.142302459989615,49.385835421066865,32.861051439022326,23.35339055330854,17.656414123583087,7.912024953948297e-07,2.2878551771764434e-06
biomass_boiler,SE,51.00737005082373,49.12314676986951,46.27785603223292,36.25986783574531,36.11795783382218,34.283289684568516,5.4686096956415735,5.507127433973354,5.749443758195692,5.991760123099739
biomass_boiler,SI,15.306718141131064,12.503226581670884,8.487457104632337,7.387407290924736,7.049173460322224,6.686218221458622,6.609612364622277,6.656166679979868,6.949041346315277,7.241916030851724
biomass_boiler,SK,16.215560923954254,16.1669113460219,16.17985045315802,16.510565072839963,16.49622924649484,16.234088086202444,16.048089250520114,16.161122770624914,16.95045823195655,16.572099133768962
